timestamp,condition,ins_type,strike_price,expiry,price,type,buy_or_sell,status,pnl,balance
2019-02-11 10:15:00,40 < RSI-D < 60; RSI-H < 40,CE,10950.0,2019-02-14,29.35,1,sell,open,-,0
2019-02-11 10:15:00,40 < RSI-D < 60; RSI-H < 40 (Hedging),CE,11200.0,2019-02-14,0.65,1,buy,open,-,0
2019-02-11 15:30:00,weekly closing,CE,10950.0,2019-02-14,35.9,1,sell,closed,-6.549999999999997,-6.549999999999997
2019-02-11 15:30:00,weekly closing,CE,11200.0,2019-02-14,1.5,1,buy,closed,0.85,-5.6999999999999975
2019-02-12 10:15:00,40 < RSI-D < 60; RSI-H < 40,CE,11050.0,2019-02-21,33.95,1,sell,open,-,-5.6999999999999975
2019-02-13 11:15:00,40 < RSI-D < 60; 40 < RSI-H < 60,PE,10750.0,2019-02-21,35.05,1,sell,open,-,-5.6999999999999975
2019-02-13 11:15:00,40 < RSI-D < 60; 40 < RSI-H < 60 (Hedging),PE,10400.0,2019-02-21,2.0,1,buy,open,-,-5.6999999999999975
2019-02-13 15:10:00,Profit Premimum below 15,CE,11050.0,2019-02-21,15.0,1,sell,closed,18.950000000000003,13.250000000000005
2019-02-13 15:10:00,Profit Premimum below 15; bying again,CE,10950.0,2019-02-21,35.0,1,sell,open,-,13.250000000000005
2019-02-13 15:10:00,Profit Premimum below 15; bying again (Hedging),CE,11200.0,2019-02-21,5.0,1,buy,open,-,13.250000000000005
2019-02-13 15:15:00,40 < RSI-D < 60; crossunder 35,PE,10750.0,2019-02-21,57.0,1,sell,closed,-21.950000000000003,-8.699999999999998
2019-02-14 13:38:00,Profit Premimum below 15,CE,10950.0,2019-02-21,14.25,1,sell,closed,20.75,12.050000000000002
2019-02-14 13:38:00,Profit Premimum below 15; bying again,CE,10850.0,2019-02-21,38.1,1,sell,open,-,12.050000000000002
2019-02-14 13:38:00,Profit Premimum below 15; bying again (Hedging),CE,11200.0,2019-02-21,1.7,1,buy,open,-,12.050000000000002
2019-02-14 14:00:00,premimum > 45; type2 purchase,PE,10650.0,2019-02-21,34.4,2,sell,open,-,12.050000000000002
2019-02-14 14:00:00,premimum > 45; type2 purchase (Hedging),PE,10300.0,2019-02-21,4.7,2,buy,open,-,12.050000000000002
2019-02-14 14:09:00,Type 2 premium < 30,PE,10650.0,2019-02-21,28.5,2,sell,closed,5.899999999999999,17.950000000000003
2019-02-15 15:15:00,40 < RSI-D < 60; 40 < RSI-H < 60,PE,10600.0,2019-02-21,35.85,1,sell,open,-,17.950000000000003
2019-02-18 11:08:00,Profit Premimum below 15,CE,10850.0,2019-02-21,14.65,1,sell,closed,23.450000000000003,41.400000000000006
2019-02-18 11:08:00,Profit Premimum below 15; bying again,CE,10800.0,2019-02-21,25.9,1,sell,open,-,41.400000000000006
2019-02-18 11:08:00,Profit Premimum below 15; bying again (Hedging),CE,11150.0,2019-02-21,0.9,1,buy,open,-,41.400000000000006
2019-02-18 11:15:00,40 < RSI-D < 60; crossunder 35,PE,10600.0,2019-02-21,49.95,1,sell,closed,-14.100000000000001,27.300000000000004
2019-02-18 15:30:00,weekly closing,PE,10400.0,2019-02-21,18.95,1,buy,closed,16.95,44.25
2019-02-18 15:30:00,weekly closing,CE,11200.0,2019-02-21,1.1,1,buy,closed,-3.9,40.35
2019-02-18 15:30:00,weekly closing,CE,11200.0,2019-02-21,1.1,1,buy,closed,-0.5999999999999999,39.75
2019-02-18 15:30:00,weekly closing,PE,10300.0,2019-02-21,12.4,2,buy,closed,7.7,47.45
2019-02-18 15:30:00,weekly closing,CE,10800.0,2019-02-21,16.8,1,sell,closed,9.099999999999998,56.55
2019-02-18 15:30:00,weekly closing,CE,11150.0,2019-02-21,1.4,1,buy,closed,0.4999999999999999,57.05
2019-02-19 09:15:00,RSI-D < 40; RSI-H < 50,CE,10900.0,2019-02-28,33.7,1,sell,open,-,57.05
2019-02-19 13:03:00,premimum > 45; type2 purchase,PE,10500.0,2019-02-28,37.45,2,sell,open,-,57.05
2019-02-19 15:15:00,RSI-D < 40; RSI-H < 35,PE,10500.0,2019-02-28,75.05,2,sell,closed,-37.599999999999994,19.450000000000003
2019-02-19 15:15:00,RSI-D < 40; crossunder 45,PE,10300.0,2019-02-28,33.45,1,sell,open,-,19.450000000000003
2019-02-20 10:50:00,Profit Premimum below 15,PE,10300.0,2019-02-28,14.95,1,sell,closed,18.500000000000004,37.95
2019-02-20 10:50:00,Profit Premimum below 15; bying again,PE,10500.0,2019-02-28,38.4,1,sell,open,-,37.95
2019-02-21 11:15:00,45 < RSI-D < 60; crossover 55,PE,10500.0,2019-02-28,22.7,1,sell,closed,15.7,53.650000000000006
2019-02-21 13:15:00,40 < RSI-D < 60; 60 < RSI-H,PE,10650.0,2019-02-28,33.85,1,sell,open,-,53.650000000000006
2019-02-21 13:15:00,40 < RSI-D < 60; 60 < RSI-H (Hedging),PE,10200.0,2019-02-28,4.55,1,buy,open,-,53.650000000000006
2019-02-25 09:15:00,Profit Premimum below 15,PE,10650.0,2019-02-28,14.55,1,sell,closed,19.3,72.95
2019-02-25 09:15:00,Profit Premimum below 15; bying again,PE,10750.0,2019-02-28,32.8,1,sell,open,-,72.95
2019-02-25 09:15:00,Profit Premimum below 15; bying again (Hedging),PE,10200.0,2019-02-28,1.95,1,buy,open,-,72.95
2019-02-25 12:15:00,40 < RSI-D < 60; crossover 65,CE,10900.0,2019-02-28,28.7,1,sell,closed,5.0000000000000036,77.95
2019-02-25 15:14:00,Profit Premimum below 15,PE,10750.0,2019-02-28,14.95,1,sell,closed,17.849999999999998,95.8
2019-02-25 15:14:00,Profit Premimum below 15; bying again,PE,10850.0,2019-02-28,35.5,1,sell,open,-,95.8
2019-02-25 15:14:00,Profit Premimum below 15; bying again (Hedging),PE,10250.0,2019-02-28,1.7,1,buy,open,-,95.8
2019-02-25 15:30:00,weekly closing,PE,10200.0,2019-02-28,1.9,1,buy,closed,-2.65,93.14999999999999
2019-02-25 15:30:00,weekly closing,PE,10200.0,2019-02-28,1.9,1,buy,closed,-0.050000000000000044,93.1
2019-02-25 15:30:00,weekly closing,PE,10850.0,2019-02-28,38.6,1,sell,closed,-3.1000000000000014,90.0
2019-02-25 15:30:00,weekly closing,PE,10250.0,2019-02-28,1.7,1,buy,closed,0.0,90.0
2019-02-26 09:15:00,40 < RSI-D < 60; 60 < RSI-H,PE,10650.0,2019-03-07,38.0,1,sell,open,-,90.0
2019-02-26 10:15:00,premimum > 45; type2 purchase,CE,10950.0,2019-03-07,40.0,2,sell,open,-,90.0
2019-02-26 10:15:00,Stoploss Hit,PE,10650.0,2019-03-07,76.0,1,sell,closed,-38.0,52.0
2019-02-26 11:13:00,Stoploss Hit,CE,10950.0,2019-03-07,50.0,2,sell,closed,-10.0,42.0
2019-02-26 10:15:00,40 < RSI-D < 60; 40 < RSI-H < 60,PE,10400.0,2019-03-07,33.55,1,sell,open,-,42.0
2019-02-26 11:15:00,40 < RSI-D < 60; 40 < RSI-H < 60,CE,11000.0,2019-03-07,35.75,1,sell,open,-,42.0
2019-02-26 12:15:00,45 < RSI-D < 60; crossover 55,PE,10400.0,2019-03-07,21.85,1,sell,closed,11.699999999999996,53.699999999999996
2019-02-26 13:18:00,premimum > 45; type2 purchase,PE,10500.0,2019-03-07,31.5,2,sell,open,-,53.699999999999996
2019-02-26 13:19:00,Type 2 premium < 30,PE,10500.0,2019-03-07,30.0,2,sell,closed,1.5,55.199999999999996
2019-02-26 13:25:00,premimum > 45; type2 purchase,PE,10550.0,2019-03-07,39.0,2,sell,open,-,55.199999999999996
2019-02-26 14:30:00,Stoploss Hit,CE,11000.0,2019-03-07,50.7,1,sell,closed,-14.950000000000003,40.24999999999999
2019-02-26 15:15:00,40 < RSI-D < 60; 40 < RSI-H < 60,CE,11000.0,2019-03-07,36.7,1,sell,open,-,40.24999999999999
2019-02-27 09:16:00,Type 2 premium < 30,PE,10550.0,2019-03-07,18.85,2,sell,closed,20.15,60.39999999999999
2019-02-27 09:18:00,premimum > 45; type2 purchase,PE,10650.0,2019-03-07,32.2,2,sell,open,-,60.39999999999999
2019-02-27 09:27:00,Stoploss Hit,CE,11000.0,2019-03-07,50.25,1,sell,closed,-13.549999999999997,46.849999999999994
2019-02-27 09:27:00,Type 2 premium < 30,PE,10650.0,2019-03-07,29.0,2,sell,closed,3.200000000000003,50.05
2019-02-27 09:15:00,40 < RSI-D < 60; 40 < RSI-H < 60,PE,10650.0,2019-03-07,38.0,1,sell,open,-,50.05
2019-02-27 10:15:00,45 < RSI-D < 60; crossover 55,PE,10650.0,2019-03-07,25.8,1,sell,closed,12.2,62.25
