timestamp,condition,ins_type,strike_price,expiry,price,type,buy_or_sell,status,pnl,balance
19-02-19 13:15,RSI-D < 40; no open positions and supertrend changes from down to up,PE,10450,28-02-19,30.9,1,sell,open,-,0
19-02-19 14:44,premimum > 40; type2 purchase,CE,10900,28-02-19,27.1,2,sell,open,-,0
19-02-19 14:44,premimum > 40; type2 purchase (Hedging),CE,11150,28-02-19,4.6,2,buy,open,-,0
19-02-19 14:44,premimum > 40; type2 purchase,CE,10900,28-02-19,27.1,1,sell,open,-,0
21-02-19 11:22,Profit Premimum below 15,PE,10450,28-02-19,14.25,1,sell,closed,16.65,16.65
21-02-19 11:22,Profit Premimum below 15; bying again,PE,10600,28-02-19,32.75,1,sell,open,-,16.65
25-02-19 9:30,Profit Premimum below 15,PE,10600,28-02-19,10.7,1,sell,closed,22.05,38.7
25-02-19 9:30,Profit Premimum below 15; bying again,PE,10750,28-02-19,32.45,1,sell,open,-,38.7
25-02-19 14:15,40 < RSI-D < 60; crossover 70,CE,10900,28-02-19,33.45,2,sell,closed,-6.35,32.35
25-02-19 14:15,40 < RSI-D < 60; crossover 70,CE,10900,28-02-19,33.45,1,sell,closed,-6.35,26
25-02-19 15:14,Profit Premimum below 15,PE,10750,28-02-19,14.95,1,sell,closed,17.5,43.5
25-02-19 15:14,Profit Premimum below 15; bying again,PE,10850,28-02-19,35.5,1,sell,open,-,43.5
25-02-19 15:30,weekly closing,CE,11150,28-02-19,1.35,2,buy,closed,-3.25,40.25
25-02-19 15:30,weekly closing,PE,10850,28-02-19,38.6,1,sell,closed,-3.1,37.15
25-02-19 15:30,weekly reopening,CE,11050,07-03-19,32.35,1,sell,open,-,37.15
26-02-19 9:30,RSI > 70 and nifty crossunder supertrend,CE,11050,07-03-19,23.5,1,sell,closed,8.85,46
26-02-19 10:15,45 < RSI-D < 60; crossunder 55,CE,11000,07-03-19,29.05,1,sell,open,-,46
26-02-19 12:38,premimum > 40; type2 purchase,PE,10500,07-03-19,27.8,2,sell,open,-,46
26-02-19 12:38,premimum > 40; type2 purchase,PE,10500,07-03-19,27.8,1,sell,open,-,46
27-02-19 9:30,Profit Premimum below 15,PE,10500,07-03-19,15,2,sell,closed,12.8,58.8
27-02-19 9:30,Profit Premimum below 15,PE,10500,07-03-19,15,1,sell,closed,12.8,71.6
27-02-19 9:30,Profit Premimum below 15; bying again,PE,10650,07-03-19,29,1,sell,open,-,71.6
27-02-19 9:30,premimum > 40; type2 purchase,PE,10650,07-03-19,29,2,sell,open,-,71.6
01-03-19 14:29,Profit Premimum below 15,PE,10650,07-03-19,14.8,1,sell,closed,14.2,85.8
01-03-19 14:29,Profit Premimum below 15,PE,10650,07-03-19,14.8,2,sell,closed,14.2,100
01-03-19 14:29,Profit Premimum below 15; bying again,PE,10750,07-03-19,31.85,1,sell,open,-,100
05-03-19 9:30,Profit Premimum below 15,CE,11000,07-03-19,9.5,1,sell,closed,19.55,119.55
05-03-19 9:30,Profit Premimum below 15; bying again,CE,10900,07-03-19,33.4,1,sell,open,-,119.55
05-03-19 10:32,Profit Premimum below 15,PE,10750,07-03-19,14.65,1,sell,closed,17.2,136.75
05-03-19 10:32,Profit Premimum below 15; bying again,PE,10800,07-03-19,25,1,sell,open,-,136.75
05-03-19 10:35,premimum > 40; type2 purchase,PE,10800,07-03-19,23.7,2,sell,open,-,136.75
05-03-19 10:35,premimum > 40; type2 purchase (Hedging),PE,10600,07-03-19,4.35,2,buy,open,-,136.75
05-03-19 13:45,Profit Premimum below 15,PE,10800,07-03-19,14.6,1,sell,closed,10.4,147.15
05-03-19 13:45,Profit Premimum below 15,PE,10800,07-03-19,14.6,2,sell,closed,9.1,156.25
05-03-19 13:45,Profit Premimum below 15; bying again,PE,10900,07-03-19,37.55,1,sell,open,-,156.25
05-03-19 15:30,weekly closing,PE,10600,07-03-19,4.25,2,buy,closed,-0.1,156.15
